 1  1.012e+01  1.477e+10  1.460e+00
 2  9.855e+00  1.477e+10  1.499e+00
 4  6.083e+00  1.477e+10  2.428e+00
 6  4.064e+00  1.477e+10  3.635e+00
 8  3.309e+00  1.477e+10  4.465e+00
 10  2.834e+00  1.477e+10  5.212e+00
 12  2.361e+00  1.477e+10  6.258e+00
 14  1.952e+00  1.477e+10  7.567e+00
 16  1.898e+00  1.477e+10  7.784e+00
